Date,Confirmed
5/4/2021,765596
5/5/2021,767338
5/6/2021,769160
5/7/2021,770842
5/8/2021,772127
5/9/2021,773513
5/10/2021,775027
5/11/2021,776257
5/12/2021,777397
5/13/2021,778687
5/14/2021,779535
5/15/2021,779796
5/16/2021,780159
5/17/2021,780857
5/18/2021,782129
5/19/2021,783737
5/20/2021,785194
5/21/2021,786698
5/22/2021,787726
5/23/2021,789080
5/24/2021,790521
5/25/2021,792196
5/26/2021,793693
5/27/2021,794985
5/28/2021,796343
5/29/2021,797386
5/30/2021,798830
5/31/2021,800540
6/1/2021,802305
6/2/2021,804293
6/3/2021,805980
6/4/2021,807867
6/5/2021,809314
6/6/2021,810990
6/7/2021,812960
6/8/2021,815282
6/9/2021,817819
6/10/2021,820395
6/11/2021,822849
6/12/2021,824486
6/13/2021,826922
6/14/2021,829972
6/15/2021,833291
6/16/2021,837247
6/17/2021,841087
6/18/2021,844970
6/19/2021,848027
6/20/2021,851668
6/21/2021,856304
6/22/2021,861150
6/23/2021,866877
6/24/2021,872935
6/25/2021,878804
6/26/2021,883138
6/27/2021,888406
6/28/2021,896770
6/29/2021,904436
6/30/2021,913258
7/1/2021,921559
7/2/2021,930042
7/3/2021,936256
7/4/2021,944917
